[ubuntuDockerWorker2] => mem: 0.0099 | hdd: 0.8 | timestamp: 1713951151.546879 
[ubuntuDockerWorker2] => mem: 0.0099 | hdd: 0.8 | timestamp: 1713951152.6032345 
[ubuntuDockerWorker2] => mem: 0.0099 | hdd: 0.8 | timestamp: 1713951153.5391247 
[ubuntuDockerWorker2] => mem: 0.0099 | hdd: 0.8 | timestamp: 1713951154.528918 
[ubuntuDockerWorker2] => mem: 0.0099 | hdd: 0.8 | timestamp: 1713951155.5441716 
[ubuntuDockerWorker2] => mem: 0.0099 | hdd: 0.8 | timestamp: 1713951156.788393 
[ubuntuDockerWorker2] => mem: 0.0099 | hdd: 0.8 | timestamp: 1713951157.9359841 
[ubuntuDockerWorker2] => mem: 0.0099 | hdd: 0.8 | timestamp: 1713951158.7944438 
[ubuntuDockerWorker2] => mem: 0.0099 | hdd: 0.8 | timestamp: 1713951159.808948 
[ubuntuDockerWorker2] => mem: 0.0099 | hdd: 0.8 | timestamp: 1713951160.8559725 
[ubuntuDockerWorker2] => mem: 0.0099 | hdd: 0.8 | timestamp: 1713951161.8957932 
[ubuntuDockerWorker2] => mem: 0.0099 | hdd: 0.8 | timestamp: 1713951162.882338 
[ubuntuDockerWorker2] => mem: 0.0205 | hdd: 0.8 | timestamp: 1713951163.8581233 
[ubuntuDockerWorker2] => mem: 0.0519 | hdd: 0.8 | timestamp: 1713951164.8394272 
[ubuntuDockerWorker2] => mem: 0.078 | hdd: 0.8 | timestamp: 1713951165.8328266 
[ubuntuDockerWorker2] => mem: 0.1004 | hdd: 0.8 | timestamp: 1713951167.0430927 
[ubuntuDockerWorker2] => mem: 0.1201 | hdd: 0.8 | timestamp: 1713951168.8462417 
[ubuntuDockerWorker2] => mem: 0.1336 | hdd: 0.8 | timestamp: 1713951169.8513126 
[ubuntuDockerWorker2] => mem: 0.0883 | hdd: 0.8 | timestamp: 1713951170.9038734 
[ubuntuDockerWorker3] => mem: 0.0024 | hdd: 0.77 | timestamp: 1713951172.9369342 
[ubuntuDockerWorker2] => mem: 0.071 | hdd: 0.8 | timestamp: 1713951173.3664289 
[ubuntuDockerWorker3] => mem: 0.0136 | hdd: 0.77 | timestamp: 1713951175.9762652 
[ubuntuDockerWorker2] => mem: 0.064 | hdd: 0.8 | timestamp: 1713951176.139714 
[ubuntuDockerWorker1] => mem: 0.0069 | hdd: 0.8 | timestamp: 1713951176.1742175 
[ubuntuDockerWorker3] => mem: 0.0027 | hdd: 0.77 | timestamp: 1713951178.121735 
[ubuntuDockerWorker2] => mem: 0.0687 | hdd: 0.8 | timestamp: 1713951178.2694774 
[ubuntuDockerWorker1] => mem: 0.022 | hdd: 0.8 | timestamp: 1713951178.2908072 
[ubuntuDockerWorker3] => mem: 0.0027 | hdd: 0.77 | timestamp: 1713951180.3947444 
[ubuntuDockerWorker1] => mem: 0.0211 | hdd: 0.8 | timestamp: 1713951180.7198648 
[ubuntuDockerWorker2] => mem: 0.0744 | hdd: 0.8 | timestamp: 1713951180.8487487 
[ubuntuDockerWorker3] => mem: 0.0069 | hdd: 0.77 | timestamp: 1713951182.7038844 
[ubuntuDockerWorker1] => mem: 0.0071 | hdd: 0.8 | timestamp: 1713951182.8407416 
[ubuntuDockerWorker2] => mem: 0.0844 | hdd: 0.8 | timestamp: 1713951182.9803581 
[ubuntuDockerWorker3] => mem: 0.0153 | hdd: 0.77 | timestamp: 1713951184.5894663 
[ubuntuDockerWorker1] => mem: 0.0021 | hdd: 0.8 | timestamp: 1713951184.8375173 
[ubuntuDockerWorker2] => mem: 0.0918 | hdd: 0.8 | timestamp: 1713951184.897509 
[ubuntuDockerWorker3] => mem: 0.0131 | hdd: 0.77 | timestamp: 1713951186.739294 
[ubuntuDockerWorker1] => mem: 0.0068 | hdd: 0.8 | timestamp: 1713951186.851843 
[ubuntuDockerWorker2] => mem: 0.1061 | hdd: 0.8 | timestamp: 1713951186.9610937 
[ubuntuDockerWorker3] => mem: 0.0037 | hdd: 0.77 | timestamp: 1713951188.9218972 
[ubuntuDockerWorker1] => mem: 0.01 | hdd: 0.8 | timestamp: 1713951189.1524103 
[ubuntuDockerWorker2] => mem: 0.1091 | hdd: 0.8 | timestamp: 1713951189.2205002 
[ubuntuDockerWorker3] => mem: 0.0023 | hdd: 0.77 | timestamp: 1713951191.5567276 
[ubuntuDockerWorker1] => mem: 0.0108 | hdd: 0.8 | timestamp: 1713951191.5927937 
[ubuntuDockerWorker2] => mem: 0.1053 | hdd: 0.8 | timestamp: 1713951191.7915115 
[ubuntuDockerWorker3] => mem: 0.0051 | hdd: 0.77 | timestamp: 1713951193.79879 
[ubuntuDockerWorker1] => mem: 0.0023 | hdd: 0.8 | timestamp: 1713951193.8841052 
[ubuntuDockerWorker2] => mem: 0.0866 | hdd: 0.8 | timestamp: 1713951193.9419382 
[ubuntuDockerWorker3] => mem: 0.0179 | hdd: 0.77 | timestamp: 1713951195.9388843 
[ubuntuDockerWorker2] => mem: 0.0852 | hdd: 0.8 | timestamp: 1713951196.0151887 
[ubuntuDockerWorker1] => mem: 0.0134 | hdd: 0.8 | timestamp: 1713951196.0308452 
[ubuntuDockerWorker3] => mem: 0.0123 | hdd: 0.77 | timestamp: 1713951198.1371052 
[ubuntuDockerWorker2] => mem: 0.0625 | hdd: 0.8 | timestamp: 1713951198.2550483 
[ubuntuDockerWorker1] => mem: 0.0166 | hdd: 0.8 | timestamp: 1713951198.4843838 
[ubuntuDockerWorker3] => mem: 0.0024 | hdd: 0.77 | timestamp: 1713951200.1037734 
[ubuntuDockerWorker2] => mem: 0.0759 | hdd: 0.8 | timestamp: 1713951200.278083 
[ubuntuDockerWorker1] => mem: 0.0457 | hdd: 0.8 | timestamp: 1713951200.448051 
[ubuntuDockerWorker3] => mem: 0.0053 | hdd: 0.77 | timestamp: 1713951202.0334413 
[ubuntuDockerWorker2] => mem: 0.0774 | hdd: 0.8 | timestamp: 1713951202.2285738 
[ubuntuDockerWorker1] => mem: 0.0222 | hdd: 0.8 | timestamp: 1713951202.339238 
[ubuntuDockerWorker3] => mem: 0.029 | hdd: 0.77 | timestamp: 1713951204.3168712 
[ubuntuDockerWorker2] => mem: 0.0678 | hdd: 0.8 | timestamp: 1713951204.5094926 
[ubuntuDockerWorker1] => mem: 0.0095 | hdd: 0.8 | timestamp: 1713951204.6420033 
[ubuntuDockerWorker3] => mem: 0.0301 | hdd: 0.77 | timestamp: 1713951206.0699096 
[ubuntuDockerWorker2] => mem: 0.065 | hdd: 0.8 | timestamp: 1713951206.165872 
[ubuntuDockerWorker1] => mem: 0.0025 | hdd: 0.8 | timestamp: 1713951206.312023 
[ubuntuDockerWorker3] => mem: 0.0519 | hdd: 0.77 | timestamp: 1713951208.4462848 
[ubuntuDockerWorker2] => mem: 0.0661 | hdd: 0.8 | timestamp: 1713951208.730856 
[ubuntuDockerWorker1] => mem: 0.0054 | hdd: 0.8 | timestamp: 1713951208.815919 
[ubuntuDockerWorker3] => mem: 0.0338 | hdd: 0.77 | timestamp: 1713951210.2558293 
[ubuntuDockerWorker2] => mem: 0.085 | hdd: 0.8 | timestamp: 1713951210.348081 
[ubuntuDockerWorker1] => mem: 0.0173 | hdd: 0.8 | timestamp: 1713951210.5884316 
[ubuntuDockerWorker3] => mem: 0.0289 | hdd: 0.77 | timestamp: 1713951212.2648392 
[ubuntuDockerWorker2] => mem: 0.0913 | hdd: 0.8 | timestamp: 1713951212.4245627 
[ubuntuDockerWorker1] => mem: 0.0367 | hdd: 0.8 | timestamp: 1713951212.5455618 
[ubuntuDockerWorker3] => mem: 0.0196 | hdd: 0.77 | timestamp: 1713951214.6683433 
[ubuntuDockerWorker2] => mem: 0.0884 | hdd: 0.8 | timestamp: 1713951214.7811918 
[ubuntuDockerWorker1] => mem: 0.0435 | hdd: 0.8 | timestamp: 1713951214.8837442 
[ubuntuDockerWorker3] => mem: 0.0027 | hdd: 0.77 | timestamp: 1713951216.1340573 
[ubuntuDockerWorker1] => mem: 0.0442 | hdd: 0.8 | timestamp: 1713951216.2601213 
[ubuntuDockerWorker2] => mem: 0.0735 | hdd: 0.8 | timestamp: 1713951216.2965705 
[ubuntuDockerWorker3] => mem: 0.0027 | hdd: 0.77 | timestamp: 1713951218.2956955 
[ubuntuDockerWorker1] => mem: 0.0535 | hdd: 0.8 | timestamp: 1713951218.4101813 
[ubuntuDockerWorker2] => mem: 0.0747 | hdd: 0.8 | timestamp: 1713951218.5975893 
[ubuntuDockerWorker3] => mem: 0.013 | hdd: 0.77 | timestamp: 1713951220.4533236 
[ubuntuDockerWorker1] => mem: 0.0464 | hdd: 0.8 | timestamp: 1713951220.5990925 
[ubuntuDockerWorker2] => mem: 0.0523 | hdd: 0.8 | timestamp: 1713951220.7857115 
[ubuntuDockerWorker3] => mem: 0.0274 | hdd: 0.77 | timestamp: 1713951222.452495 
[ubuntuDockerWorker1] => mem: 0.0474 | hdd: 0.8 | timestamp: 1713951222.5501275 
[ubuntuDockerWorker2] => mem: 0.0452 | hdd: 0.8 | timestamp: 1713951222.6841288 
[ubuntuDockerWorker3] => mem: 0.0406 | hdd: 0.77 | timestamp: 1713951224.945754 
[ubuntuDockerWorker1] => mem: 0.0561 | hdd: 0.8 | timestamp: 1713951225.117552 
[ubuntuDockerWorker2] => mem: 0.0367 | hdd: 0.8 | timestamp: 1713951225.4449153 
[ubuntuDockerWorker3] => mem: 0.0628 | hdd: 0.77 | timestamp: 1713951227.4896874 
[ubuntuDockerWorker2] => mem: 0.0319 | hdd: 0.8 | timestamp: 1713951227.6347868 
[ubuntuDockerWorker1] => mem: 0.0395 | hdd: 0.8 | timestamp: 1713951227.7919104 
[ubuntuDockerWorker3] => mem: 0.0732 | hdd: 0.77 | timestamp: 1713951229.9210317 
[ubuntuDockerWorker1] => mem: 0.0282 | hdd: 0.8 | timestamp: 1713951230.1813624 
[ubuntuDockerWorker2] => mem: 0.0269 | hdd: 0.8 | timestamp: 1713951230.3442903 
[ubuntuDockerWorker3] => mem: 0.0711 | hdd: 0.77 | timestamp: 1713951231.923864 
[ubuntuDockerWorker1] => mem: 0.0028 | hdd: 0.8 | timestamp: 1713951231.946426 
[ubuntuDockerWorker2] => mem: 0.0445 | hdd: 0.8 | timestamp: 1713951232.1102529 
[ubuntuDockerWorker3] => mem: 0.0596 | hdd: 0.77 | timestamp: 1713951234.1201015 
[ubuntuDockerWorker1] => mem: 0.0159 | hdd: 0.8 | timestamp: 1713951234.5929146 
[ubuntuDockerWorker2] => mem: 0.0432 | hdd: 0.8 | timestamp: 1713951234.7185783 
[ubuntuDockerWorker3] => mem: 0.0736 | hdd: 0.77 | timestamp: 1713951237.0270736 
[ubuntuDockerWorker1] => mem: 0.0333 | hdd: 0.8 | timestamp: 1713951237.2560434 
[ubuntuDockerWorker2] => mem: 0.024 | hdd: 0.8 | timestamp: 1713951237.3271708 
[ubuntuDockerWorker3] => mem: 0.0496 | hdd: 0.77 | timestamp: 1713951239.0264359 
[ubuntuDockerWorker1] => mem: 0.0439 | hdd: 0.8 | timestamp: 1713951239.298752 
[ubuntuDockerWorker2] => mem: 0.0099 | hdd: 0.8 | timestamp: 1713951239.4706094 
[ubuntuDockerWorker3] => mem: 0.0705 | hdd: 0.77 | timestamp: 1713951241.1096656 
[ubuntuDockerWorker1] => mem: 0.0428 | hdd: 0.8 | timestamp: 1713951241.3587615 
[ubuntuDockerWorker2] => mem: 0.0233 | hdd: 0.8 | timestamp: 1713951241.3881657 
[ubuntuDockerWorker3] => mem: 0.0701 | hdd: 0.77 | timestamp: 1713951244.0895228 
[ubuntuDockerWorker1] => mem: 0.04 | hdd: 0.8 | timestamp: 1713951244.1698925 
[ubuntuDockerWorker2] => mem: 0.032 | hdd: 0.8 | timestamp: 1713951244.2105 
[ubuntuDockerWorker3] => mem: 0.0527 | hdd: 0.77 | timestamp: 1713951245.6598535 
[ubuntuDockerWorker1] => mem: 0.0157 | hdd: 0.8 | timestamp: 1713951245.680665 
[ubuntuDockerWorker2] => mem: 0.0523 | hdd: 0.8 | timestamp: 1713951246.039848 
[ubuntuDockerWorker3] => mem: 0.0456 | hdd: 0.77 | timestamp: 1713951247.7723062 
[ubuntuDockerWorker1] => mem: 0.0031 | hdd: 0.8 | timestamp: 1713951247.8455076 
[ubuntuDockerWorker2] => mem: 0.0637 | hdd: 0.8 | timestamp: 1713951248.0579426 
[ubuntuDockerWorker3] => mem: 0.0299 | hdd: 0.77 | timestamp: 1713951250.1501994 
[ubuntuDockerWorker2] => mem: 0.0574 | hdd: 0.8 | timestamp: 1713951250.3094118 
[ubuntuDockerWorker1] => mem: 0.0102 | hdd: 0.8 | timestamp: 1713951250.428457 
[ubuntuDockerWorker3] => mem: 0.0172 | hdd: 0.77 | timestamp: 1713951252.2124112 
[ubuntuDockerWorker2] => mem: 0.0626 | hdd: 0.8 | timestamp: 1713951252.3454323 
[ubuntuDockerWorker1] => mem: 0.0386 | hdd: 0.8 | timestamp: 1713951252.448391 
[ubuntuDockerWorker3] => mem: 0.0098 | hdd: 0.77 | timestamp: 1713951254.4334607 
[ubuntuDockerWorker2] => mem: 0.048 | hdd: 0.8 | timestamp: 1713951254.682195 
[ubuntuDockerWorker1] => mem: 0.0462 | hdd: 0.8 | timestamp: 1713951254.9317513 
[ubuntuDockerWorker3] => mem: 0.0187 | hdd: 0.77 | timestamp: 1713951257.2196636 
[ubuntuDockerWorker1] => mem: 0.0531 | hdd: 0.8 | timestamp: 1713951257.2843292 
[ubuntuDockerWorker2] => mem: 0.0439 | hdd: 0.8 | timestamp: 1713951257.4023206 
[ubuntuDockerWorker3] => mem: 0.0096 | hdd: 0.77 | timestamp: 1713951259.568467 
[ubuntuDockerWorker2] => mem: 0.0503 | hdd: 0.8 | timestamp: 1713951259.8293982 
[ubuntuDockerWorker1] => mem: 0.0658 | hdd: 0.8 | timestamp: 1713951259.9713907 
[ubuntuDockerWorker3] => mem: 0.0119 | hdd: 0.77 | timestamp: 1713951261.422122 
[ubuntuDockerWorker2] => mem: 0.0368 | hdd: 0.8 | timestamp: 1713951261.553189 
[ubuntuDockerWorker1] => mem: 0.0576 | hdd: 0.8 | timestamp: 1713951261.719946 
[ubuntuDockerWorker3] => mem: 0.0424 | hdd: 0.77 | timestamp: 1713951263.789554 
[ubuntuDockerWorker2] => mem: 0.0311 | hdd: 0.8 | timestamp: 1713951264.0359964 
[ubuntuDockerWorker1] => mem: 0.0733 | hdd: 0.8 | timestamp: 1713951264.4985867 
[ubuntuDockerWorker3] => mem: 0.0336 | hdd: 0.77 | timestamp: 1713951266.7534082 
[ubuntuDockerWorker2] => mem: 0.0218 | hdd: 0.8 | timestamp: 1713951266.8205218 
