[ubuntuDockerWorker3] => mem: 0.0251 | hdd: 77% | timestamp: 1713946058.2360117 
[ubuntuDockerWorker2] => mem: 0.0197 | hdd: 80% | timestamp: 1713946058.3663805 
[ubuntuDockerWorker1] => mem: 0.0552 | hdd: 80% | timestamp: 1713946058.5429761 
[ubuntuDockerWorker3] => mem: 0.0153 | hdd: 77% | timestamp: 1713946060.503417 
[ubuntuDockerWorker2] => mem: 0.0535 | hdd: 80% | timestamp: 1713946060.6552203 
[ubuntuDockerWorker1] => mem: 0.0417 | hdd: 80% | timestamp: 1713946060.7435114 
[ubuntuDockerWorker3] => mem: 0.0026 | hdd: 77% | timestamp: 1713946062.5741847 
[ubuntuDockerWorker2] => mem: 0.0712 | hdd: 80% | timestamp: 1713946062.5943215 
[ubuntuDockerWorker1] => mem: 0.0533 | hdd: 80% | timestamp: 1713946062.6114335 
[ubuntuDockerWorker3] => mem: 0.0026 | hdd: 77% | timestamp: 1713946063.916767 
[ubuntuDockerWorker1] => mem: 0.0641 | hdd: 80% | timestamp: 1713946064.2468913 
[ubuntuDockerWorker2] => mem: 0.0607 | hdd: 80% | timestamp: 1713946064.365865 
[ubuntuDockerWorker3] => mem: 0.0097 | hdd: 77% | timestamp: 1713946065.9083436 
[ubuntuDockerWorker1] => mem: 0.0511 | hdd: 80% | timestamp: 1713946066.0124178 
[ubuntuDockerWorker2] => mem: 0.047 | hdd: 80% | timestamp: 1713946066.0306232 
[ubuntuDockerWorker3] => mem: 0.0283 | hdd: 77% | timestamp: 1713946067.5916772 
[ubuntuDockerWorker2] => mem: 0.0433 | hdd: 80% | timestamp: 1713946067.973775 
[ubuntuDockerWorker1] => mem: 0.059 | hdd: 80% | timestamp: 1713946068.0300207 
[ubuntuDockerWorker3] => mem: 0.0202 | hdd: 77% | timestamp: 1713946069.662612 
[ubuntuDockerWorker2] => mem: 0.0473 | hdd: 80% | timestamp: 1713946069.733698 
[ubuntuDockerWorker1] => mem: 0.0435 | hdd: 80% | timestamp: 1713946069.797736 
[ubuntuDockerWorker3] => mem: 0.0155 | hdd: 77% | timestamp: 1713946072.0970733 
[ubuntuDockerWorker2] => mem: 0.059 | hdd: 80% | timestamp: 1713946072.1383958 
