[ubuntuDockerWorker3] => mem: 0.0537 | hdd: 0.78 | timestamp: 1714042170.9597645 
[ubuntuDockerWorker1] => mem: 0.0198 | hdd: 0.8 | timestamp: 1714042171.0033236 
[ubuntuDockerWorker2] => mem: 0.0216 | hdd: 0.8 | timestamp: 1714042171.0471346 
[ubuntuDockerWorker3] => mem: 0.0567 | hdd: 0.78 | timestamp: 1714042171.9494476 
[ubuntuDockerWorker1] => mem: 0.0207 | hdd: 0.8 | timestamp: 1714042171.986549 
[ubuntuDockerWorker2] => mem: 0.0183 | hdd: 0.8 | timestamp: 1714042172.040144 
[ubuntuDockerWorker3] => mem: 0.063 | hdd: 0.78 | timestamp: 1714042172.9747376 
[ubuntuDockerWorker2] => mem: 0.0126 | hdd: 0.8 | timestamp: 1714042173.0244172 
[ubuntuDockerWorker1] => mem: 0.0226 | hdd: 0.8 | timestamp: 1714042173.080183 
[ubuntuDockerWorker3] => mem: 0.0635 | hdd: 0.78 | timestamp: 1714042173.9879968 
[ubuntuDockerWorker2] => mem: 0.0098 | hdd: 0.8 | timestamp: 1714042174.0314288 
[ubuntuDockerWorker1] => mem: 0.0193 | hdd: 0.8 | timestamp: 1714042174.0819058 
[ubuntuDockerWorker3] => mem: 0.0641 | hdd: 0.78 | timestamp: 1714042174.9720223 
[ubuntuDockerWorker2] => mem: 0.0112 | hdd: 0.8 | timestamp: 1714042175.0104635 
[ubuntuDockerWorker1] => mem: 0.0136 | hdd: 0.8 | timestamp: 1714042175.05174 
[ubuntuDockerWorker3] => mem: 0.0643 | hdd: 0.78 | timestamp: 1714042176.1037052 
[ubuntuDockerWorker2] => mem: 0.0192 | hdd: 0.8 | timestamp: 1714042176.1399772 
[ubuntuDockerWorker1] => mem: 0.0066 | hdd: 0.8 | timestamp: 1714042176.182509 
[ubuntuDockerWorker3] => mem: 0.0617 | hdd: 0.78 | timestamp: 1714042177.1019053 
[ubuntuDockerWorker2] => mem: 0.0265 | hdd: 0.8 | timestamp: 1714042177.1370986 
[ubuntuDockerWorker1] => mem: 0.0024 | hdd: 0.8 | timestamp: 1714042177.1770656 
[ubuntuDockerWorker3] => mem: 0.0616 | hdd: 0.78 | timestamp: 1714042178.1347632 
[ubuntuDockerWorker2] => mem: 0.0281 | hdd: 0.8 | timestamp: 1714042178.1681678 
[ubuntuDockerWorker1] => mem: 0.008 | hdd: 0.8 | timestamp: 1714042178.2010303 
[ubuntuDockerWorker3] => mem: 0.0588 | hdd: 0.78 | timestamp: 1714042179.1471875 
[ubuntuDockerWorker2] => mem: 0.0225 | hdd: 0.8 | timestamp: 1714042179.1955209 
[ubuntuDockerWorker1] => mem: 0.0131 | hdd: 0.8 | timestamp: 1714042179.2547245 
[ubuntuDockerWorker3] => mem: 0.0546 | hdd: 0.78 | timestamp: 1714042180.1478338 
[ubuntuDockerWorker2] => mem: 0.0197 | hdd: 0.8 | timestamp: 1714042180.2013845 
[ubuntuDockerWorker1] => mem: 0.0184 | hdd: 0.8 | timestamp: 1714042180.2510521 
[ubuntuDockerWorker3] => mem: 0.0504 | hdd: 0.78 | timestamp: 1714042181.483762 
[ubuntuDockerWorker2] => mem: 0.0208 | hdd: 0.8 | timestamp: 1714042181.5528836 
[ubuntuDockerWorker1] => mem: 0.0221 | hdd: 0.8 | timestamp: 1714042181.6025393 
[ubuntuDockerWorker3] => mem: 0.0478 | hdd: 0.78 | timestamp: 1714042183.2095473 
[ubuntuDockerWorker1] => mem: 0.0236 | hdd: 0.8 | timestamp: 1714042183.2817137 
[ubuntuDockerWorker2] => mem: 0.0182 | hdd: 0.8 | timestamp: 1714042183.325741 
[ubuntuDockerWorker3] => mem: 0.0517 | hdd: 0.78 | timestamp: 1714042184.477963 
[ubuntuDockerWorker2] => mem: 0.0182 | hdd: 0.8 | timestamp: 1714042184.5198946 
[ubuntuDockerWorker1] => mem: 0.0274 | hdd: 0.8 | timestamp: 1714042184.5661008 
[ubuntuDockerWorker3] => mem: 0.051 | hdd: 0.78 | timestamp: 1714042185.5144708 
[ubuntuDockerWorker2] => mem: 0.0209 | hdd: 0.8 | timestamp: 1714042185.5586448 
[ubuntuDockerWorker1] => mem: 0.0208 | hdd: 0.8 | timestamp: 1714042185.6021936 
[ubuntuDockerWorker3] => mem: 0.0489 | hdd: 0.78 | timestamp: 1714042187.248361 
[ubuntuDockerWorker1] => mem: 0.0261 | hdd: 0.8 | timestamp: 1714042187.3191018 
[ubuntuDockerWorker2] => mem: 0.0225 | hdd: 0.8 | timestamp: 1714042187.388268 
[ubuntuDockerWorker3] => mem: 0.0419 | hdd: 0.78 | timestamp: 1714042188.9146476 
[ubuntuDockerWorker2] => mem: 0.0169 | hdd: 0.8 | timestamp: 1714042188.9473808 
[ubuntuDockerWorker1] => mem: 0.0349 | hdd: 0.8 | timestamp: 1714042188.9821954 
[ubuntuDockerWorker3] => mem: 0.0453 | hdd: 0.78 | timestamp: 1714042190.3009465 
[ubuntuDockerWorker1] => mem: 0.0391 | hdd: 0.8 | timestamp: 1714042190.3801565 
[ubuntuDockerWorker2] => mem: 0.0098 | hdd: 0.8 | timestamp: 1714042190.4317477 
[ubuntuDockerWorker3] => mem: 0.0434 | hdd: 0.78 | timestamp: 1714042191.3228812 
[ubuntuDockerWorker1] => mem: 0.0434 | hdd: 0.8 | timestamp: 1714042191.3813152 
[ubuntuDockerWorker2] => mem: 0.0126 | hdd: 0.8 | timestamp: 1714042191.4711368 
[ubuntuDockerWorker3] => mem: 0.0392 | hdd: 0.78 | timestamp: 1714042193.2496881 
[ubuntuDockerWorker2] => mem: 0.0181 | hdd: 0.8 | timestamp: 1714042193.285569 
[ubuntuDockerWorker1] => mem: 0.0406 | hdd: 0.8 | timestamp: 1714042193.3481085 
[ubuntuDockerWorker3] => mem: 0.0377 | hdd: 0.78 | timestamp: 1714042194.392431 
[ubuntuDockerWorker1] => mem: 0.0378 | hdd: 0.8 | timestamp: 1714042194.6839108 
[ubuntuDockerWorker2] => mem: 0.0354 | hdd: 0.8 | timestamp: 1714042194.803407 
[ubuntuDockerWorker3] => mem: 0.0232 | hdd: 0.78 | timestamp: 1714042196.2900276 
