{'request_number': 152044, 'result': 14029, 'worker_start_time': 1739767788.7350256, 'waiting_time': 43.43144392967224, 'start_process_time': 153124.400434843, 'real_process_time': 2.201748966006562, 'data_prepare_time': 4.218978574499488e-06, 'finish_time': 153126.6021886, 'user_cpu_time': 1.7899999999999991, 'system_cpu_time': 0.0, 'contention_time': 0.41174896600656297, 'cpu_spent_usage': 81.2990049109288, 'request_id': 39, 'predicted_processing_time': 2.8723199367523193, 'waiting_jobs': 36, 'response_time': 48.324905500005116}
{'request_number': 443770, 'result': 37245, 'worker_start_time': 1739767791.0432935, 'waiting_time': 45.84924030303955, 'start_process_time': 153126.708702758, 'real_process_time': 10.645717890991364, 'data_prepare_time': 3.8539874367415905e-06, 'finish_time': 153137.354425337, 'user_cpu_time': 8.530000000000001, 'system_cpu_time': 0.0, 'contention_time': 2.1157178909913625, 'cpu_spent_usage': 80.12611349788136, 'request_id': 38, 'predicted_processing_time': 13.734254837036133, 'waiting_jobs': 35, 'response_time': 58.96848339999269}
{'request_number': 306488, 'result': 26529, 'worker_start_time': 1739767801.7955863, 'waiting_time': 56.71136665344238, 'start_process_time': 153137.460995588, 'real_process_time': 6.147789399023168, 'data_prepare_time': 4.114990588277578e-06, 'finish_time': 153143.608790143, 'user_cpu_time': 4.949999999999996, 'system_cpu_time': 0.0, 'contention_time': 1.197789399023172, 'cpu_spent_usage': 80.51674640622058, 'request_id': 37, 'predicted_processing_time': 7.848217964172363, 'waiting_jobs': 34, 'response_time': 65.11147030000575}
{'request_number': 450556, 'result': 37756, 'worker_start_time': 1739767808.049982, 'waiting_time': 63.07604789733887, 'start_process_time': 153143.71539128, 'real_process_time': 10.874884315999225, 'data_prepare_time': 4.115019692108035e-06, 'finish_time': 153154.590280491, 'user_cpu_time': 8.710000000000008, 'system_cpu_time': 0.0, 'contention_time': 2.164884315999217, 'cpu_spent_usage': 80.09280601896408, 'request_id': 36, 'predicted_processing_time': 14.133532524108887, 'waiting_jobs': 33, 'response_time': 75.99851930000295}
{'request_number': 471931, 'result': 39383, 'worker_start_time': 1739767819.0312982, 'waiting_time': 74.1653950214386, 'start_process_time': 153154.696707618, 'real_process_time': 11.620347325020703, 'data_prepare_time': 4.114001058042049e-06, 'finish_time': 153166.317059735, 'user_cpu_time': 9.329999999999998, 'system_cpu_time': 0.0, 'contention_time': 2.2903473250207043, 'cpu_spent_usage': 80.29019907099357, 'request_id': 35, 'predicted_processing_time': 14.883630752563477, 'waiting_jobs': 32, 'response_time': 87.61675899999682}
{'request_number': 247636, 'result': 21845, 'worker_start_time': 1739767830.7580042, 'waiting_time': 86.001229763031, 'start_process_time': 153166.42341358, 'real_process_time': 4.500811914011138, 'data_prepare_time': 4.1660096030682325e-06, 'finish_time': 153170.924230911, 'user_cpu_time': 3.6199999999999903, 'system_cpu_time': 0.0, 'contention_time': 0.8808119140111472, 'cpu_spent_usage': 80.4299328468013, 'request_id': 34, 'predicted_processing_time': 5.836461067199707, 'waiting_jobs': 31, 'response_time': 92.13046650000615}
{'request_number': 125800, 'result': 11804, 'worker_start_time': 1739767835.3840005, 'waiting_time': 90.73574495315552, 'start_process_time': 153171.049409838, 'real_process_time': 1.6715814460185356, 'data_prepare_time': 4.114001058042049e-06, 'finish_time': 153172.720995971, 'user_cpu_time': 1.3599999999999994, 'system_cpu_time': 0.0, 'contention_time': 0.3115814460185362, 'cpu_spent_usage': 81.3600798955577, 'request_id': 33, 'predicted_processing_time': 2.1960413455963135, 'waiting_jobs': 30, 'response_time': 93.83462380000856}
{'request_number': 57326, 'result': 5812, 'worker_start_time': 1739767837.1839347, 'waiting_time': 92.64384698867798, 'start_process_time': 153172.849343844, 'real_process_time': 0.5539065890188795, 'data_prepare_time': 4.01001307182014e-06, 'finish_time': 153173.403255433, 'user_cpu_time': 0.45000000000000284, 'system_cpu_time': 0.0, 'contention_time': 0.10390658901887662, 'cpu_spent_usage': 81.24113504355965, 'request_id': 32, 'predicted_processing_time': 1.6529028415679932, 'waiting_jobs': 29, 'response_time': 94.40806560000055}
{'request_number': 309843, 'result': 26790, 'worker_start_time': 1739767837.8444364, 'waiting_time': 93.41547107696533, 'start_process_time': 153173.509846049, 'real_process_time': 6.261071182001615, 'data_prepare_time': 3.958994057029486e-06, 'finish_time': 153179.77092197, 'user_cpu_time': 5.02000000000001, 'system_cpu_time': 0.0, 'contention_time': 1.2410711820016047, 'cpu_spent_usage': 80.17797360986329, 'request_id': 31, 'predicted_processing_time': 8.065434455871582, 'waiting_jobs': 28, 'response_time': 100.66848629999731}
{'request_number': 365617, 'result': 31194, 'worker_start_time': 1739767844.21215, 'waiting_time': 99.89119076728821, 'start_process_time': 153179.877559305, 'real_process_time': 7.992797334009083, 'data_prepare_time': 4.219007678329945e-06, 'finish_time': 153187.870361431, 'user_cpu_time': 6.409999999999997, 'system_cpu_time': 0.0, 'contention_time': 1.5827973340090864, 'cpu_spent_usage': 80.19720420941569, 'request_id': 30, 'predicted_processing_time': 10.69640827178955, 'waiting_jobs': 27, 'response_time': 108.66013340000063}
{'request_number': 139443, 'result': 12962, 'worker_start_time': 1739767852.3124664, 'waiting_time': 108.09890747070312, 'start_process_time': 153187.977875741, 'real_process_time': 1.932994464004878, 'data_prepare_time': 4.063011147081852e-06, 'finish_time': 153189.91087484, 'user_cpu_time': 1.5699999999999932, 'system_cpu_time': 0.0, 'contention_time': 0.3629944640048848, 'cpu_spent_usage': 81.22113276761208, 'request_id': 29, 'predicted_processing_time': 2.561856985092163, 'waiting_jobs': 26, 'response_time': 110.5922516999999}
{'request_number': 119670, 'result': 11268, 'worker_start_time': 1739767854.3525581, 'waiting_time': 110.24797201156616, 'start_process_time': 153190.017967589, 'real_process_time': 1.5635057839972433, 'data_prepare_time': 4.114001058042049e-06, 'finish_time': 153191.581483009, 'user_cpu_time': 1.259999999999991, 'system_cpu_time': 0.0, 'contention_time': 0.30350578399725237, 'cpu_spent_usage': 80.58812528206244, 'request_id': 28, 'predicted_processing_time': 2.0239241123199463, 'waiting_jobs': 25, 'response_time': 112.15351570000348}       
{'request_number': 284188, 'result': 24770, 'worker_start_time': 1739767856.0234492, 'waiting_time': 112.02626442909241, 'start_process_time': 153191.688858257, 'real_process_time': 5.5040455069975, 'data_prepare_time': 4.011002602055669e-06, 'finish_time': 153197.19290793, 'user_cpu_time': 4.430000000000007, 'system_cpu_time': 0.0, 'contention_time': 1.0740455069974928, 'cpu_spent_usage': 80.48625314539973, 'request_id': 27, 'predicted_processing_time': 7.534658908843994, 'waiting_jobs': 24, 'response_time': 117.6553208999976}
{'request_number': 255785, 'result': 22506, 'worker_start_time': 1739767861.6336625, 'waiting_time': 117.74532413482666, 'start_process_time': 153197.299071933, 'real_process_time': 4.715746781992493, 'data_prepare_time': 4.062021616846323e-06, 'finish_time': 153202.014823923, 'user_cpu_time': 3.789999999999992, 'system_cpu_time': 0.0, 'contention_time': 0.9257467819925012, 'cpu_spent_usage': 80.36903114629587, 'request_id': 26, 'predicted_processing_time': 6.0515241622924805, 'waiting_jobs': 23, 'response_time': 122.36948879998818}
{'request_number': 334961, 'result': 28791, 'worker_start_time': 1739767866.4557142, 'waiting_time': 122.67598009109497, 'start_process_time': 153202.121123446, 'real_process_time': 7.030604614003096, 'data_prepare_time': 4.219007678329945e-06, 'finish_time': 153209.151732748, 'user_cpu_time': 5.61999999999999, 'system_cpu_time': 0.0, 'contention_time': 1.4106046140031054, 'cpu_spent_usage': 79.93622609364839, 'request_id': 25, 'predicted_processing_time': 9.209824562072754, 'waiting_jobs': 22, 'response_time': 129.39847480000753}
